protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p4t_v1,foot_left_001,left,1005,0,1760000400000,0.4096,0.3968,0.43,0.3672,0.1123,0.091,30.74,30.82,30.44,30.64,0.0018,-0.0298,9.8233,-0.276,-0.2152,0.0487,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,0,1760000400020,0.2865,0.3007,0.3114,0.2422,0.3082,0.3043,30.64,30.72,30.36,30.57,-0.0246,0.0275,9.7896,-0.0278,0.179,-0.0897,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,1,1760000400200,0.4118,0.395,0.4365,0.358,0.1138,0.0862,30.74,30.85,30.44,30.66,0.0095,0.0107,9.8044,-0.2766,0.1245,-0.0603,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,1,1760000400220,0.2805,0.2966,0.3173,0.2496,0.3076,0.2908,30.65,30.75,30.32,30.54,0.0025,0.014,9.804,-0.2028,-0.224,0.1506,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,2,1760000400400,0.4183,0.3961,0.4327,0.355,0.1042,0.0975,30.75,30.85,30.44,30.68,-0.0168,-0.0198,9.7802,-0.2451,0.1491,0.1687,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,2,1760000400420,0.2794,0.302,0.3078,0.2382,0.3076,0.305,30.68,30.77,30.34,30.58,-0.0253,-0.0204,9.8431,0.0729,0.1744,-0.1471,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,3,1760000400600,0.4161,0.4015,0.4383,0.3552,0.1,0.0835,30.78,30.86,30.45,30.67,-0.0123,0.0241,9.8009,-0.2799,-0.0392,-0.0045,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,3,1760000400620,0.2839,0.3034,0.3144,0.2438,0.3099,0.291,30.68,30.74,30.36,30.57,0.0116,-0.0045,9.7792,-0.1474,0.0435,-0.0831,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,4,1760000400800,0.4201,0.4035,0.4353,0.3612,0.1078,0.092,30.78,30.83,30.46,30.64,0.005,-0.0008,9.7704,-0.0075,0.0024,0.1882,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,4,1760000400820,0.2794,0.3019,0.3153,0.2425,0.3124,0.294,30.65,30.78,30.37,30.56,-0.0046,0.002,9.8236,0.0114,0.1448,-0.0364,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,5,1760000401000,0.4197,0.3884,0.4277,0.3591,0.1096,0.0942,30.78,30.84,30.49,30.64,0.0039,-0.003,9.7967,-0.0949,-0.1974,0.0969,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,5,1760000401020,0.2778,0.301,0.3105,0.247,0.318,0.299,30.7,30.75,30.37,30.59,0.0261,-0.0015,9.8025,-0.0673,0.0822,0.1725,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,6,1760000401200,0.409,0.4028,0.4318,0.3655,0.1058,0.0841,30.76,30.86,30.48,30.69,-0.0255,0.0042,9.8048,0.1614,0.2969,-0.1696,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,6,1760000401220,0.2732,0.2958,0.3225,0.2434,0.3142,0.2999,30.68,30.77,30.4,30.58,-0.0255,-0.0233,9.8348,0.106,0.1592,0.1879,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,7,1760000401400,0.4154,0.3983,0.4327,0.3574,0.1128,0.0901,30.76,30.89,30.47,30.69,0.0158,0.0094,9.7681,-0.0692,0.0597,-0.1177,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,7,1760000401420,0.2878,0.2936,0.3154,0.2454,0.3127,0.2905,30.69,30.75,30.37,30.56,-0.0019,0.0168,9.7721,0.2602,-0.1927,-0.1728,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,8,1760000401600,0.4192,0.3911,0.4291,0.3641,0.1001,0.0879,30.78,30.85,30.49,30.66,0.005,-0.0097,9.7909,0.2144,-0.0319,-0.1073,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,8,1760000401620,0.2731,0.2908,0.3164,0.2401,0.3086,0.301,30.69,30.76,30.39,30.61,0.0214,0.0039,9.8315,-0.0039,-0.1557,-0.0392,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,9,1760000401800,0.4074,0.4,0.4302,0.3618,0.1099,0.0888,30.76,30.89,30.48,30.66,0.0162,-0.0018,9.8311,-0.2814,-0.2751,0.0658,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,9,1760000401820,0.2826,0.2973,0.3109,0.2433,0.3092,0.3004,30.69,30.75,30.41,30.59,-0.0255,0.0,9.8059,0.2076,0.2652,0.0998,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,10,1760000402000,0.412,0.3905,0.4361,0.3551,0.1021,0.0844,30.79,30.91,30.46,30.69,0.0295,0.0075,9.8459,-0.0803,0.126,-0.1955,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,10,1760000402020,0.2829,0.3018,0.3197,0.2453,0.3106,0.2919,30.7,30.78,30.38,30.55,0.0074,0.007,9.7807,0.1396,0.1309,-0.1798,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,11,1760000402200,0.4089,0.3944,0.4351,0.3676,0.1114,0.0888,30.76,30.89,30.46,30.71,0.0169,0.0291,9.7868,0.1404,0.2894,0.1149,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,11,1760000402220,0.2874,0.3016,0.3161,0.2468,0.3115,0.2912,30.69,30.81,30.4,30.59,-0.0084,0.0167,9.825,-0.1661,0.0118,-0.1662,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,12,1760000402400,0.4112,0.3942,0.4317,0.3643,0.1151,0.0879,30.79,30.87,30.47,30.7,0.0065,0.002,9.8092,0.1723,0.0365,0.1299,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,12,1760000402420,0.2848,0.2937,0.3141,0.2474,0.3101,0.3051,30.71,30.77,30.37,30.6,-0.0296,-0.0059,9.8186,-0.0803,0.1668,0.1561,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,13,1760000402600,0.4119,0.3952,0.4277,0.3544,0.1135,0.0841,30.8,30.88,30.52,30.69,0.0003,-0.0261,9.8266,-0.28,-0.2478,-0.0018,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,13,1760000402620,0.2843,0.3023,0.3178,0.2405,0.316,0.2898,30.66,30.79,30.41,30.57,-0.0016,-0.0039,9.8457,-0.0872,-0.251,0.1959,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,14,1760000402800,0.4149,0.4003,0.4258,0.3567,0.1141,0.0823,30.78,30.89,30.5,30.69,-0.023,-0.0115,9.8214,-0.0314,-0.2307,0.1907,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,14,1760000402820,0.2796,0.2952,0.309,0.2493,0.3216,0.3036,30.68,30.77,30.42,30.62,-0.0203,0.0196,9.8084,-0.0368,0.2896,0.0144,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,15,1760000403000,0.4119,0.3883,0.4319,0.355,0.1124,0.0896,30.8,30.92,30.49,30.72,-0.0239,-0.0007,9.8002,-0.0435,0.1231,0.1004,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,15,1760000403020,0.2844,0.2966,0.3103,0.2499,0.3176,0.3053,30.67,30.79,30.42,30.58,-0.0002,-0.0179,9.7709,-0.1531,0.0807,-0.1659,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,16,1760000403200,0.4216,0.39,0.4314,0.3549,0.1091,0.097,30.82,30.91,30.51,30.72,0.0177,-0.0073,9.7908,0.0175,-0.1041,-0.1437,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,16,1760000403220,0.2845,0.3053,0.3211,0.2508,0.3178,0.2933,30.7,30.78,30.39,30.62,-0.012,0.02,9.7692,0.0433,0.1725,-0.0165,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,17,1760000403400,0.4187,0.388,0.4341,0.3622,0.1051,0.09,30.79,30.9,30.51,30.72,-0.0227,0.0221,9.8018,-0.227,-0.1111,0.0721,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,17,1760000403420,0.277,0.2974,0.3225,0.2473,0.3103,0.3013,30.73,30.82,30.4,30.6,0.0052,0.0123,9.7743,-0.2864,-0.2762,0.0873,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,18,1760000403600,0.4086,0.3929,0.4307,0.3555,0.1124,0.0847,30.79,30.92,30.49,30.7,0.0175,0.0158,9.8444,-0.2741,0.2796,0.0298,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1005,18,1760000403620,0.2816,0.3045,0.3211,0.2518,0.3174,0.2952,30.71,30.78,30.43,30.59,0.0027,0.0047,9.8429,0.1766,0.1916,-0.1403,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1005,19,1760000403800,0.4171,0.3938,0.4374,0.3606,0.1083,0.0875,30.79,30.88,30.5,30.7,-0.016,-0.007,9.7766,0.2502,-0.2579,-0.1602,95,0,csv_replay
