protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p4t_v1,foot_left_001,left,1003,0,1760000200000,0.4485,0.4772,0.4975,0.3863,0.5001,0.4775,30.73,30.85,30.46,30.68,0.0254,-0.0106,9.8415,0.2652,-0.2785,0.0772,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,0,1760000200020,0.1745,0.1811,0.2023,0.1589,0.2003,0.1877,30.65,30.77,30.33,30.55,-0.0166,-0.0274,9.8114,-0.0052,0.1862,-0.0349,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,1,1760000200200,0.4433,0.47,0.5029,0.3929,0.4985,0.48,30.74,30.83,30.47,30.68,0.0036,-0.015,9.7935,0.2692,-0.0107,-0.0871,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,1,1760000200220,0.1683,0.1877,0.1947,0.1576,0.1989,0.1804,30.63,30.76,30.33,30.57,-0.0286,-0.0075,9.7886,-0.1714,0.2175,0.1548,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,2,1760000200400,0.4482,0.4747,0.4988,0.3978,0.5089,0.4805,30.73,30.84,30.47,30.65,-0.0128,0.0182,9.7738,0.2992,0.0649,0.1727,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,2,1760000200420,0.1696,0.1814,0.1993,0.1564,0.1932,0.1887,30.69,30.75,30.35,30.57,0.0196,-0.0096,9.7969,-0.2904,0.1796,-0.1897,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,3,1760000200600,0.4489,0.4769,0.5094,0.3884,0.5113,0.4694,30.74,30.87,30.44,30.64,-0.02,0.0034,9.7804,0.1683,-0.0894,-0.1479,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,3,1760000200620,0.1812,0.1949,0.2029,0.1547,0.1989,0.1891,30.66,30.75,30.39,30.54,-0.0037,0.0133,9.7727,0.0713,0.0604,-0.0511,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,4,1760000200800,0.4559,0.4769,0.5008,0.3917,0.5104,0.4765,30.76,30.86,30.46,30.64,-0.0205,-0.0081,9.8097,0.0812,0.1234,0.0295,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,4,1760000200820,0.1734,0.1938,0.203,0.1507,0.1995,0.1807,30.67,30.77,30.36,30.59,0.0174,0.0195,9.8013,-0.0867,0.2947,0.1993,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,5,1760000201000,0.4499,0.4837,0.5097,0.3938,0.5036,0.481,30.79,30.84,30.46,30.67,-0.0029,-0.0154,9.8038,0.0018,0.2958,-0.0193,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,5,1760000201020,0.178,0.1929,0.1964,0.1598,0.2009,0.1812,30.68,30.76,30.36,30.56,-0.0019,0.0047,9.8116,-0.2394,0.2896,0.0175,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,6,1760000201200,0.4495,0.4831,0.5036,0.3951,0.5074,0.4746,30.75,30.88,30.45,30.66,-0.0017,-0.0081,9.8138,-0.0225,-0.1646,-0.0243,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,6,1760000201220,0.1735,0.1832,0.1934,0.155,0.2002,0.1821,30.68,30.78,30.35,30.56,-0.0117,-0.0179,9.8462,-0.2526,0.0472,-0.1571,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,7,1760000201400,0.4493,0.472,0.5116,0.3987,0.502,0.4729,30.79,30.86,30.48,30.7,-0.0298,-0.0115,9.8191,0.2312,0.1452,-0.1742,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,7,1760000201420,0.1831,0.1905,0.2025,0.156,0.2019,0.1877,30.69,30.79,30.35,30.57,0.025,0.0105,9.7959,-0.0979,-0.1792,0.1428,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,8,1760000201600,0.4436,0.4804,0.5064,0.3916,0.5034,0.4718,30.76,30.89,30.49,30.67,0.0197,-0.0015,9.7827,0.0708,-0.1704,-0.0894,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,8,1760000201620,0.1836,0.1877,0.1923,0.1497,0.1964,0.1863,30.7,30.77,30.4,30.56,0.0098,-0.0125,9.79,-0.2246,-0.009,0.0158,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,9,1760000201800,0.4533,0.475,0.5024,0.3871,0.4986,0.4796,30.76,30.86,30.45,30.68,-0.0252,0.0077,9.8155,-0.013,0.2794,0.1966,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,9,1760000201820,0.1714,0.1944,0.2003,0.1556,0.2055,0.179,30.67,30.76,30.4,30.61,-0.0041,0.0151,9.7971,0.1533,0.1272,-0.0517,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,10,1760000202000,0.4544,0.4722,0.5049,0.3961,0.5074,0.4808,30.77,30.89,30.47,30.68,0.0046,0.0077,9.7803,-0.2682,-0.1977,0.1086,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,10,1760000202020,0.1723,0.1845,0.19,0.1467,0.1903,0.1826,30.65,30.79,30.38,30.56,-0.0283,-0.0073,9.783,0.2106,-0.275,0.0079,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,11,1760000202200,0.4488,0.4786,0.5008,0.3841,0.5108,0.4687,30.78,30.91,30.48,30.71,0.0295,-0.0163,9.8376,-0.2278,0.2361,0.0725,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,11,1760000202220,0.1751,0.1891,0.1902,0.1577,0.2025,0.1843,30.67,30.76,30.39,30.57,0.0236,-0.0123,9.8187,-0.0626,-0.2078,0.1721,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,12,1760000202400,0.4442,0.4794,0.5068,0.3996,0.4974,0.4708,30.82,30.89,30.49,30.71,0.0262,-0.0138,9.8404,-0.0197,-0.2305,0.082,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1003,12,1760000202420,0.1712,0.1861,0.2055,0.152,0.2034,0.1917,30.71,30.8,30.41,30.56,0.0208,0.0116,9.7857,0.0822,0.1204,-0.1841,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1003,13,1760000202600,0.4534,0.4807,0.5094,0.3848,0.506,0.4706,30.81,30.88,30.51,30.71,0.0145,0.0171,9.8151,0.2997,0.037,0.1171,95,0,csv_replay
