protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p4t_v1,foot_left_001,left,1001,0,1760000000000,0.2958,0.299,0.3221,0.2498,0.3252,0.3099,30.72,30.88,30.48,30.65,0.0254,0.0121,9.802,0.0783,-0.2262,0.0599,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,0,1760000000020,0.2843,0.3009,0.3142,0.2513,0.3108,0.292,30.62,30.78,30.35,30.54,-0.0154,0.012,9.795,-0.0535,0.0135,0.0047,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,1,1760000000200,0.2905,0.2992,0.3179,0.2464,0.3298,0.2993,30.73,30.84,30.46,30.67,0.0106,-0.0053,9.8102,0.2477,-0.0272,0.1744,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,1,1760000000220,0.2849,0.2959,0.3205,0.2373,0.3202,0.2956,30.64,30.72,30.34,30.57,0.0274,-0.013,9.7726,-0.202,-0.2947,0.0483,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,2,1760000000400,0.2944,0.3081,0.3195,0.2533,0.3269,0.2982,30.75,30.83,30.44,30.66,0.0018,-0.0185,9.7866,-0.283,-0.0438,-0.0202,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,2,1760000000420,0.2795,0.2913,0.312,0.2507,0.3113,0.3034,30.68,30.73,30.36,30.57,-0.0292,0.0188,9.8209,0.2951,0.0397,0.0042,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,3,1760000000600,0.2886,0.3107,0.3235,0.2465,0.3315,0.3056,30.79,30.83,30.44,30.65,-0.0127,0.0281,9.794,-0.183,-0.0831,0.125,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,3,1760000000620,0.2722,0.3041,0.3185,0.2476,0.319,0.3007,30.69,30.78,30.33,30.57,-0.0102,-0.0157,9.7719,0.1177,0.1191,-0.1128,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,4,1760000000800,0.2944,0.3064,0.318,0.2508,0.3252,0.2993,30.74,30.86,30.47,30.66,0.024,0.0278,9.8224,0.219,0.0385,-0.0261,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,4,1760000000820,0.2856,0.2925,0.3136,0.2512,0.3101,0.3029,30.68,30.79,30.36,30.57,-0.0016,0.0279,9.7786,0.2529,-0.1206,-0.1385,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,5,1760000001000,0.2936,0.3029,0.3197,0.2582,0.3203,0.3067,30.79,30.89,30.45,30.67,0.002,-0.01,9.7894,-0.0583,0.2988,0.0937,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,5,1760000001020,0.2749,0.2926,0.3121,0.2452,0.3166,0.2957,30.68,30.77,30.34,30.58,-0.0238,0.0122,9.8081,0.008,0.1679,-0.1458,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,6,1760000001200,0.2958,0.3094,0.3307,0.2517,0.3201,0.3089,30.79,30.9,30.45,30.66,-0.0084,0.0217,9.7803,0.2516,-0.0199,0.0254,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,6,1760000001220,0.2806,0.2941,0.3204,0.2428,0.3227,0.2983,30.68,30.76,30.36,30.58,0.0112,-0.023,9.8413,-0.0737,0.2478,0.0432,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,7,1760000001400,0.2936,0.3078,0.3304,0.25,0.3166,0.312,30.76,30.88,30.48,30.65,-0.0138,0.0041,9.8115,0.2183,-0.2225,0.0778,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,7,1760000001420,0.2818,0.2957,0.3145,0.2456,0.315,0.2981,30.67,30.77,30.38,30.58,-0.013,-0.0253,9.7725,-0.1859,-0.1309,0.0309,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,8,1760000001600,0.2957,0.3101,0.3227,0.2456,0.3194,0.3139,30.79,30.88,30.46,30.7,0.0185,-0.0242,9.8403,0.1639,0.0069,-0.162,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,8,1760000001620,0.2729,0.2998,0.3136,0.2385,0.3219,0.2993,30.69,30.76,30.39,30.55,-0.014,-0.0142,9.8338,0.0999,0.0868,0.0592,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,9,1760000001800,0.2948,0.31,0.3206,0.248,0.3228,0.3083,30.81,30.9,30.5,30.69,-0.0108,0.0275,9.7884,0.1339,-0.2022,-0.0141,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1001,9,1760000001820,0.2855,0.3024,0.3102,0.2481,0.3122,0.3044,30.68,30.77,30.38,30.6,0.0092,0.0242,9.8283,-0.1901,0.2888,0.1682,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1001,10,1760000002000,0.2816,0.3122,0.3249,0.2556,0.3308,0.311,30.78,30.88,30.47,30.67,-0.0123,-0.0202,9.7778,-0.1631,-0.1078,0.0785,95,0,csv_replay
