protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p4t_v1,foot_left_001,left,1002,0,1760000100000,0.2044,0.2202,0.2194,0.1762,0.2313,0.2072,30.73,30.88,30.43,30.67,-0.0082,0.2088,9.8042,0.1111,6.8442,-0.0367,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,0,1760000100020,0.1999,0.2103,0.229,0.1782,0.2218,0.2138,30.68,30.74,30.32,30.58,0.0034,-0.2118,9.8069,0.0602,-7.1556,2.9116,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,1,1760000100200,0.3608,0.3902,0.4029,0.3199,0.4124,0.3849,30.75,30.83,30.45,30.63,0.5298,0.0706,10.855,17.1857,2.0456,1.8048,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,1,1760000100220,0.0477,0.0474,0.0389,0.0376,0.0524,0.0468,30.65,30.78,30.37,30.53,-0.538,-0.0517,10.8577,-17.4075,-2.1423,2.4875,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,2,1760000100400,0.299,0.3251,0.3337,0.2607,0.3368,0.3155,30.75,30.85,30.45,30.63,0.3089,-0.1566,10.4461,10.7934,-5.7154,2.7544,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,2,1760000100420,0.0933,0.1116,0.1064,0.0813,0.112,0.112,30.64,30.76,30.37,30.54,-0.3294,0.1754,10.4927,-10.5766,5.6903,0.9115,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,3,1760000100600,0.1062,0.1152,0.1164,0.0878,0.1111,0.1043,30.73,30.85,30.45,30.69,-0.3067,-0.169,10.4729,-10.4473,-5.4758,2.8547,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,3,1760000100620,0.3015,0.3226,0.3281,0.2677,0.3362,0.3205,30.67,30.74,30.34,30.55,0.3191,0.1511,10.4319,10.5771,5.6517,-0.9684,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,4,1760000100800,0.0343,0.0468,0.0518,0.0412,0.0524,0.0495,30.78,30.84,30.44,30.65,-0.5146,0.0441,10.8874,-17.3629,1.993,1.8085,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,4,1760000100820,0.3674,0.3894,0.3971,0.3205,0.4046,0.3762,30.65,30.76,30.36,30.56,0.5275,-0.0784,10.8404,16.9507,-2.2045,-2.3604,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,5,1760000101000,0.2004,0.2094,0.2274,0.1712,0.2327,0.2061,30.77,30.88,30.47,30.69,-0.0141,0.2188,9.8351,-0.1063,7.0241,-0.062,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,5,1760000101020,0.1961,0.2202,0.232,0.1812,0.2302,0.2129,30.66,30.75,30.34,30.54,-0.0159,-0.1917,9.8163,-0.077,-6.9027,-3.0429,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,6,1760000101200,0.3588,0.3889,0.4113,0.3216,0.399,0.3866,30.74,30.89,30.46,30.69,0.5243,0.0569,10.8233,17.1061,2.0766,-1.8086,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,6,1760000101220,0.0441,0.0393,0.0529,0.0339,0.0458,0.0356,30.67,30.78,30.37,30.54,-0.5189,-0.0435,10.8916,-17.2552,-2.1581,-2.4924,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,7,1760000101400,0.3006,0.325,0.3367,0.257,0.3431,0.318,30.75,30.88,30.48,30.7,0.3209,-0.1645,10.4225,10.8186,-5.5557,-2.7685,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,7,1760000101420,0.107,0.1127,0.1132,0.0943,0.1119,0.1147,30.68,30.77,30.37,30.59,-0.3065,0.17,10.4761,-10.6469,5.4784,-0.8778,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,8,1760000101600,0.0957,0.1113,0.1179,0.0908,0.1174,0.1096,30.76,30.86,30.47,30.66,-0.3131,-0.1572,10.442,-10.762,-5.4875,-2.8847,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,8,1760000101620,0.2961,0.3231,0.3367,0.2573,0.3341,0.3254,30.68,30.79,30.36,30.58,0.3288,0.1555,10.4843,10.5416,5.7847,0.9789,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,9,1760000101800,0.0369,0.0419,0.0388,0.0391,0.048,0.046,30.78,30.86,30.5,30.7,-0.5228,0.0618,10.8756,-16.8615,2.0116,-1.7062,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,9,1760000101820,0.3604,0.3852,0.4104,0.3219,0.4072,0.3899,30.7,30.75,30.39,30.61,0.514,-0.0789,10.8725,17.3727,-1.9779,2.3716,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,10,1760000102000,0.202,0.2168,0.2222,0.1762,0.223,0.2204,30.78,30.86,30.48,30.68,0.0171,0.1854,9.8002,-0.049,6.9396,-0.0974,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,10,1760000102020,0.1955,0.2138,0.2279,0.1679,0.2174,0.2142,30.67,30.79,30.38,30.59,0.0226,-0.1961,9.8464,-0.1865,-6.8958,3.0616,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,11,1760000102200,0.3607,0.3889,0.4105,0.321,0.4008,0.3772,30.76,30.86,30.48,30.71,0.535,0.0739,10.8195,17.0774,2.1013,1.7396,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,11,1760000102220,0.0426,0.0353,0.0479,0.0334,0.0382,0.0369,30.67,30.77,30.4,30.61,-0.5127,-0.061,10.8345,-17.2542,-2.3302,2.4486,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,12,1760000102400,0.3033,0.3184,0.3376,0.2625,0.332,0.3253,30.82,30.91,30.47,30.71,0.335,-0.1774,10.4567,10.3566,-5.5984,2.8032,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,12,1760000102420,0.108,0.1079,0.1206,0.0879,0.1159,0.102,30.66,30.81,30.38,30.62,-0.326,0.1612,10.4908,-10.3462,5.5291,0.9634,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,13,1760000102600,0.1039,0.1131,0.1215,0.082,0.106,0.1108,30.81,30.9,30.47,30.69,-0.3025,-0.1721,10.4841,-10.6388,-5.7406,2.7706,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,13,1760000102620,0.2988,0.3232,0.3384,0.2542,0.3369,0.3135,30.69,30.82,30.36,30.62,0.3343,0.1694,10.4424,10.3924,5.7991,-0.9247,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,14,1760000102800,0.0389,0.0446,0.0514,0.0299,0.0501,0.0447,30.77,30.89,30.49,30.72,-0.5169,0.0432,10.8312,-17.0531,2.2052,1.6947,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,14,1760000102820,0.3667,0.3884,0.4009,0.3195,0.4124,0.3804,30.69,30.81,30.41,30.57,0.5283,-0.046,10.8825,17.1103,-1.9854,-2.4587,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,15,1760000103000,0.2035,0.2116,0.2219,0.1708,0.2174,0.2165,30.82,30.91,30.49,30.67,-0.0248,0.2133,9.8211,-0.2815,6.8139,-0.0083,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,15,1760000103020,0.2071,0.2093,0.2276,0.1698,0.2247,0.2173,30.71,30.79,30.42,30.57,-0.0087,-0.1922,9.7728,0.0006,-7.1765,-2.9414,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,16,1760000103200,0.3561,0.3902,0.4013,0.3198,0.4008,0.3835,30.82,30.88,30.47,30.71,0.5228,0.0464,10.8843,16.962,2.2494,-1.8286,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,16,1760000103220,0.0353,0.043,0.0423,0.0304,0.0385,0.0448,30.7,30.8,30.41,30.6,-0.5195,-0.0764,10.8548,-17.0654,-2.0772,-2.5,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,17,1760000103400,0.2914,0.3191,0.3287,0.2636,0.3325,0.3207,30.8,30.88,30.53,30.67,0.3404,-0.1712,10.4925,10.6986,-5.7009,-2.8326,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,17,1760000103420,0.0966,0.1057,0.111,0.0858,0.1063,0.1064,30.7,30.79,30.43,30.62,-0.2939,0.1435,10.4184,-10.6017,5.8407,-0.9975,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,18,1760000103600,0.0953,0.1064,0.1124,0.0946,0.1084,0.1086,30.82,30.88,30.5,30.71,-0.3426,-0.168,10.4625,-10.2991,-5.8101,-2.9198,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,18,1760000103620,0.303,0.3119,0.3411,0.2668,0.3346,0.3115,30.69,30.82,30.4,30.63,0.3008,0.1637,10.4427,10.2803,5.5749,1.0175,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,19,1760000103800,0.0331,0.0405,0.0449,0.0409,0.0486,0.048,30.79,30.89,30.49,30.71,-0.522,0.0512,10.8616,-17.3885,2.1254,-1.6826,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,19,1760000103820,0.3551,0.3838,0.4113,0.3164,0.4101,0.3894,30.71,30.83,30.42,30.61,0.5385,-0.0801,10.8619,17.1329,-2.1609,2.4337,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,20,1760000104000,0.1946,0.2097,0.2254,0.1827,0.2239,0.2203,30.8,30.89,30.49,30.7,-0.0242,0.1991,9.8029,-0.1736,6.8742,0.0246,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,20,1760000104020,0.2027,0.2193,0.2288,0.1767,0.2225,0.2075,30.73,30.82,30.43,30.64,-0.0094,-0.1848,9.8248,0.1189,-7.0421,3.0987,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,21,1760000104200,0.3569,0.3744,0.411,0.3113,0.4017,0.3878,30.81,30.9,30.52,30.71,0.5024,0.0812,10.8523,17.0037,2.1213,1.6849,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,21,1760000104220,0.0426,0.0367,0.0445,0.0272,0.038,0.0444,30.7,30.83,30.4,30.63,-0.522,-0.0419,10.8818,-17.2444,-2.0951,2.4122,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,22,1760000104400,0.2938,0.3214,0.3366,0.2621,0.3398,0.3153,30.82,30.89,30.53,30.7,0.3154,-0.164,10.4814,10.3535,-5.4676,2.9268,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,22,1760000104420,0.0992,0.1,0.1166,0.0826,0.1071,0.1064,30.74,30.84,30.39,30.62,-0.3227,0.181,10.4518,-10.7898,5.5132,0.949,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,23,1760000104600,0.1038,0.1014,0.1123,0.0829,0.1162,0.1116,30.82,30.95,30.5,30.71,-0.3387,-0.1739,10.4149,-10.8788,-5.5303,2.8028,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,23,1760000104620,0.2936,0.3166,0.3431,0.2632,0.3332,0.3183,30.72,30.83,30.4,30.62,0.317,0.1577,10.4138,10.5415,5.55,-0.9654,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,24,1760000104800,0.0357,0.04,0.0477,0.029,0.0427,0.0424,30.84,30.93,30.54,30.69,-0.5369,0.0687,10.8512,-17.026,2.2638,1.7084,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,24,1760000104820,0.3638,0.388,0.412,0.3172,0.3998,0.3842,30.69,30.83,30.39,30.62,0.5127,-0.0463,10.8859,16.8366,-2.1738,-2.3385,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,25,1760000105000,0.1956,0.2067,0.2279,0.1769,0.2328,0.2056,30.83,30.95,30.52,30.71,0.0042,0.1865,9.7716,0.194,7.1589,-0.0616,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,25,1760000105020,0.2053,0.208,0.2178,0.1723,0.2195,0.2135,30.73,30.8,30.44,30.65,-0.0091,-0.1818,9.841,-0.1384,-6.8021,-2.9717,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,26,1760000105200,0.3534,0.3899,0.4035,0.3191,0.4103,0.3803,30.83,30.94,30.55,30.72,0.4996,0.0553,10.8209,16.9749,2.2174,-1.8338,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,26,1760000105220,0.0336,0.0436,0.0405,0.0421,0.0479,0.0411,30.74,30.82,30.44,30.65,-0.5186,-0.0573,10.8765,-17.2659,-2.1009,-2.4511,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,27,1760000105400,0.3022,0.314,0.3404,0.2582,0.3396,0.3125,30.79,30.95,30.52,30.71,0.3408,-0.1656,10.4154,10.6622,-5.7135,-2.8158,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,27,1760000105420,0.0983,0.1043,0.1197,0.0926,0.1172,0.1001,30.74,30.81,30.41,30.64,-0.2961,0.1508,10.4875,-10.8576,5.5135,-0.8511,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,28,1760000105600,0.1004,0.1147,0.1095,0.085,0.1209,0.1026,30.84,30.9,30.54,30.7,-0.317,-0.1687,10.4291,-10.3472,-5.6122,-2.9226,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,28,1760000105620,0.2913,0.3233,0.3378,0.2666,0.3428,0.3198,30.72,30.83,30.42,30.65,0.3525,0.1557,10.4412,10.6989,5.5442,0.8835,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,29,1760000105800,0.0328,0.0478,0.0532,0.0406,0.0495,0.0399,30.84,30.91,30.54,30.74,-0.5522,0.0775,10.8652,-17.4028,2.0456,-1.8187,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,29,1760000105820,0.3586,0.3873,0.406,0.3153,0.4107,0.3895,30.75,30.8,30.44,30.64,0.5012,-0.0537,10.8918,16.8982,-1.9899,2.4667,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,30,1760000106000,0.1929,0.2149,0.2258,0.169,0.2205,0.2176,30.84,30.94,30.54,30.73,0.0216,0.1951,9.8381,0.2204,7.013,-0.0214,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1002,30,1760000106020,0.1924,0.2137,0.2185,0.1721,0.2263,0.2204,30.73,30.8,30.45,30.62,0.0236,-0.2147,9.7973,0.2743,-7.0235,2.9549,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1002,31,1760000106200,0.3612,0.3752,0.4001,0.3163,0.4067,0.3863,30.8,30.95,30.54,30.72,0.5127,0.0801,10.8449,17.3871,2.1713,1.8537,95,0,csv_replay
