protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p4t_v1,foot_left_001,left,1004,0,1760000300000,0.1777,0.189,0.2005,0.1463,0.1994,0.1797,30.76,30.87,30.47,30.68,0.0029,-0.0027,9.8465,-0.1181,-0.0979,-0.0232,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,0,1760000300020,0.4514,0.476,0.5096,0.394,0.5114,0.4795,30.67,30.77,30.38,30.52,-0.0206,-0.0242,9.8033,0.0064,0.0955,-0.0892,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,1,1760000300200,0.1703,0.1808,0.2037,0.1514,0.2005,0.1801,30.73,30.83,30.44,30.67,0.0148,0.015,9.8399,0.0393,0.0907,0.0392,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,1,1760000300220,0.4447,0.4746,0.5047,0.3919,0.502,0.4734,30.63,30.77,30.37,30.54,-0.0159,-0.0174,9.7866,0.1602,-0.1382,0.1751,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,2,1760000300400,0.1766,0.1913,0.1928,0.1526,0.1901,0.1834,30.74,30.86,30.44,30.65,0.0198,-0.0112,9.7704,0.1549,-0.1779,0.1346,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,2,1760000300420,0.4535,0.4683,0.5003,0.3901,0.5091,0.4724,30.65,30.77,30.38,30.58,0.0088,0.0156,9.8054,0.1331,0.007,0.0053,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,3,1760000300600,0.1745,0.1865,0.1994,0.1523,0.1927,0.1937,30.75,30.84,30.48,30.65,-0.0123,-0.0293,9.8261,0.1987,0.0093,-0.1307,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,3,1760000300620,0.4511,0.4682,0.5072,0.3913,0.5081,0.4732,30.66,30.79,30.35,30.58,0.0128,-0.0013,9.7719,0.1689,-0.2964,-0.1202,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,4,1760000300800,0.17,0.1826,0.196,0.156,0.1942,0.182,30.75,30.84,30.45,30.66,-0.0231,-0.0096,9.825,0.1304,0.1012,-0.0227,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,4,1760000300820,0.4511,0.4768,0.4964,0.3897,0.5116,0.469,30.68,30.75,30.36,30.58,-0.0246,-0.0247,9.8426,0.0683,-0.2404,-0.0747,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,5,1760000301000,0.1777,0.1904,0.2032,0.1474,0.1952,0.1856,30.76,30.88,30.49,30.65,0.0001,-0.0009,9.8332,0.0999,-0.1754,0.173,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,5,1760000301020,0.4403,0.4711,0.5009,0.3916,0.5105,0.4806,30.65,30.78,30.36,30.57,0.011,-0.0086,9.839,-0.1427,0.2864,-0.0852,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,6,1760000301200,0.1812,0.1835,0.2023,0.15,0.2015,0.1944,30.78,30.84,30.49,30.65,-0.0016,-0.0129,9.7773,-0.0656,-0.1628,-0.03,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,6,1760000301220,0.4418,0.4705,0.5022,0.3896,0.5099,0.4774,30.65,30.8,30.38,30.55,0.0111,-0.0168,9.8228,0.1793,-0.0024,-0.1146,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,7,1760000301400,0.1696,0.1864,0.1962,0.1556,0.1926,0.188,30.8,30.9,30.49,30.7,-0.0021,0.0018,9.8232,-0.2225,-0.2,0.0011,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,7,1760000301420,0.4431,0.482,0.5102,0.3969,0.5059,0.4776,30.67,30.75,30.39,30.58,-0.0264,-0.0047,9.7702,-0.2495,-0.2284,-0.1069,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,8,1760000301600,0.1776,0.1919,0.1959,0.1565,0.1962,0.1941,30.79,30.86,30.45,30.65,-0.0174,-0.0087,9.846,0.1656,0.0802,0.1702,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,8,1760000301620,0.4543,0.4782,0.5043,0.3927,0.5118,0.4698,30.68,30.77,30.35,30.58,0.0177,-0.0148,9.7722,0.1432,-0.2644,0.1644,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,9,1760000301800,0.1725,0.1915,0.205,0.1546,0.1903,0.191,30.76,30.88,30.5,30.69,0.0082,0.0116,9.785,0.0909,0.1652,-0.1995,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,9,1760000301820,0.4403,0.4829,0.5109,0.3951,0.5016,0.4761,30.68,30.79,30.38,30.58,0.011,0.0179,9.8062,-0.0375,-0.1114,-0.0649,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,10,1760000302000,0.1813,0.1798,0.203,0.1581,0.2053,0.186,30.8,30.9,30.51,30.66,-0.0043,0.0024,9.7785,-0.1853,0.2037,0.1685,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,10,1760000302020,0.4418,0.4772,0.4989,0.3978,0.5015,0.4708,30.68,30.79,30.35,30.56,-0.0291,-0.0054,9.7841,0.1825,0.0878,-0.0617,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,11,1760000302200,0.1763,0.1816,0.1949,0.1537,0.2054,0.1912,30.77,30.9,30.49,30.67,-0.0064,0.0277,9.7679,-0.1059,-0.2318,0.1657,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,11,1760000302220,0.4531,0.475,0.4993,0.3992,0.507,0.4781,30.7,30.81,30.41,30.58,0.0004,0.0018,9.8116,0.2738,0.1326,0.0294,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,12,1760000302400,0.1749,0.181,0.2045,0.1611,0.19,0.181,30.81,30.87,30.47,30.68,-0.0284,-0.0195,9.8447,0.143,-0.2411,-0.0528,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,12,1760000302420,0.4513,0.4786,0.4967,0.3921,0.5083,0.4797,30.67,30.77,30.42,30.62,0.0148,0.0191,9.8204,0.0185,-0.1248,0.0668,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,13,1760000302600,0.1799,0.1906,0.2034,0.1501,0.1963,0.1939,30.76,30.87,30.47,30.7,0.0165,-0.0079,9.8068,0.0119,-0.1815,0.0416,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,13,1760000302620,0.4433,0.4705,0.503,0.3915,0.497,0.4704,30.68,30.77,30.37,30.6,0.0267,0.0066,9.7943,-0.184,-0.1145,-0.0332,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,14,1760000302800,0.1795,0.1898,0.1995,0.1533,0.1941,0.1797,30.81,30.88,30.5,30.71,0.0299,-0.011,9.7686,0.2762,-0.0273,-0.0464,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,14,1760000302820,0.4476,0.4794,0.507,0.3843,0.4972,0.4704,30.72,30.79,30.38,30.62,0.0143,-0.0124,9.7782,-0.0566,0.1245,0.1949,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,15,1760000303000,0.183,0.1808,0.1939,0.1617,0.1947,0.187,30.79,30.9,30.5,30.69,0.007,0.0123,9.8139,0.1519,0.2838,-0.172,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,15,1760000303020,0.4408,0.4836,0.5001,0.3975,0.4983,0.4733,30.71,30.81,30.37,30.61,-0.025,-0.029,9.8131,0.1144,0.1051,-0.0842,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,16,1760000303200,0.1803,0.1921,0.205,0.1538,0.2,0.1905,30.78,30.88,30.49,30.7,-0.004,0.014,9.7873,-0.2686,-0.2878,-0.1284,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,16,1760000303220,0.4547,0.4814,0.504,0.3849,0.5116,0.4769,30.68,30.8,30.42,30.62,0.0184,-0.0002,9.8239,-0.159,0.0923,-0.043,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,17,1760000303400,0.1779,0.1938,0.1941,0.1496,0.1903,0.1801,30.8,30.92,30.49,30.71,-0.0252,-0.0206,9.7932,-0.1249,0.069,0.14,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,17,1760000303420,0.4469,0.4806,0.509,0.3949,0.4963,0.4805,30.73,30.79,30.39,30.6,0.0229,-0.0064,9.8236,0.2394,0.2039,0.1141,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,18,1760000303600,0.1795,0.1928,0.1951,0.1614,0.2031,0.181,30.82,30.89,30.52,30.7,0.0139,-0.0094,9.8261,-0.282,0.2811,0.1972,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,18,1760000303620,0.4403,0.4771,0.4998,0.3923,0.4996,0.4707,30.71,30.81,30.43,30.59,0.0041,-0.0235,9.8333,-0.2497,0.0639,0.0323,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,19,1760000303800,0.1803,0.1906,0.2026,0.1536,0.2005,0.1825,30.82,30.92,30.5,30.7,0.0113,0.0178,9.8196,0.0726,0.0937,0.0699,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,19,1760000303820,0.4538,0.4735,0.5054,0.3894,0.5087,0.474,30.68,30.83,30.4,30.64,-0.0239,-0.0283,9.7721,-0.1761,-0.2866,-0.0505,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,20,1760000304000,0.1837,0.1912,0.2025,0.1465,0.197,0.183,30.81,30.88,30.5,30.69,-0.0259,-0.0251,9.8281,0.0454,0.2123,-0.0053,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,20,1760000304020,0.4519,0.4794,0.5036,0.3859,0.5087,0.4833,30.7,30.81,30.38,30.63,-0.0248,-0.0164,9.8145,-0.0044,0.1023,-0.1712,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,21,1760000304200,0.1789,0.1932,0.1947,0.1556,0.1935,0.1839,30.82,30.89,30.5,30.68,-0.0026,0.0244,9.8067,-0.2575,-0.0175,0.1722,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,21,1760000304220,0.4454,0.4773,0.5072,0.3907,0.5051,0.4768,30.73,30.83,30.4,30.6,0.0255,-0.0148,9.8005,-0.0411,-0.0015,-0.17,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,22,1760000304400,0.1729,0.1823,0.1987,0.155,0.193,0.1808,30.8,30.93,30.5,30.7,0.0068,-0.0158,9.8075,-0.1168,0.1888,-0.1126,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,22,1760000304420,0.4486,0.476,0.5027,0.3906,0.4993,0.4715,30.74,30.83,30.39,30.6,0.0274,-0.0264,9.845,0.2052,-0.2994,-0.1246,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,23,1760000304600,0.1734,0.1807,0.2014,0.1521,0.1961,0.1842,30.83,30.93,30.54,30.74,0.0187,-0.017,9.8077,-0.0963,-0.1689,0.0783,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,23,1760000304620,0.4525,0.4804,0.4998,0.3895,0.5007,0.4781,30.74,30.82,30.44,30.64,0.0062,-0.0025,9.8159,0.0206,-0.0744,0.1577,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,24,1760000304800,0.1835,0.1904,0.1953,0.155,0.1952,0.1918,30.83,30.91,30.5,30.7,-0.0222,-0.0297,9.8138,0.1596,0.2545,-0.1741,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,24,1760000304820,0.4476,0.4741,0.5084,0.3847,0.5001,0.469,30.72,30.81,30.43,30.61,0.0293,-0.0102,9.8012,0.1688,-0.2565,0.0454,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,25,1760000305000,0.1762,0.1843,0.1905,0.1607,0.2057,0.1921,30.79,30.93,30.51,30.71,-0.0025,0.0045,9.8053,0.0939,-0.2357,0.096,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,25,1760000305020,0.4556,0.469,0.5091,0.3844,0.4979,0.483,30.71,30.83,30.39,30.61,-0.0054,0.0168,9.8463,0.2355,-0.2774,-0.1656,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,26,1760000305200,0.1748,0.1904,0.1935,0.149,0.1911,0.1835,30.79,30.92,30.5,30.73,-0.0288,0.0277,9.8121,0.0859,0.2294,0.0726,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,26,1760000305220,0.4491,0.4794,0.5018,0.3895,0.4977,0.4738,30.71,30.85,30.41,30.61,-0.0079,-0.0296,9.7757,0.0982,0.2481,0.1563,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,27,1760000305400,0.1772,0.1807,0.1971,0.1548,0.2028,0.1882,30.84,30.91,30.52,30.73,-0.0232,0.0168,9.8447,-0.0673,0.0743,0.069,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,27,1760000305420,0.4449,0.475,0.4961,0.3913,0.5064,0.4797,30.75,30.84,30.39,30.62,-0.0113,-0.0125,9.7938,-0.1501,0.0056,-0.0231,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,28,1760000305600,0.1733,0.1917,0.2017,0.1532,0.202,0.1869,30.83,30.92,30.51,30.73,0.0243,0.0039,9.8047,-0.2364,-0.2468,-0.1028,95,0,csv_replay
1,layout_6p4t_v1,foot_right_001,right,1004,28,1760000305620,0.445,0.4729,0.4975,0.3903,0.5067,0.4823,30.73,30.83,30.4,30.6,-0.0162,0.0017,9.8111,0.1672,-0.0375,0.0391,93,0,csv_replay
1,layout_6p4t_v1,foot_left_001,left,1004,29,1760000305800,0.1704,0.1822,0.2021,0.1606,0.2047,0.18,30.81,30.92,30.51,30.71,-0.0099,0.0029,9.7967,-0.2773,-0.2611,-0.1413,95,0,csv_replay
