protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1007,0,1760000600000,0.5119,0.5252,0.4684,0.3286,0.5025,0.4526,30.85,30.62,30.44,0.0263,-0.0196,9.8455,0.1678,0.1003,0.125,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,0,1760000600020,0.1902,0.2092,0.1877,0.129,0.1919,0.1752,30.78,30.56,30.35,0.0223,-0.0253,9.797,-0.0676,0.1584,-0.1546,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,1,1760000600200,0.501,0.5395,0.4767,0.328,0.5022,0.4438,30.84,30.65,30.43,0.0032,0.01,9.8211,-0.2346,-0.1358,-0.054,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,1,1760000600220,0.2042,0.2119,0.1919,0.1286,0.197,0.1779,30.76,30.57,30.33,-0.0284,0.0175,9.8086,0.1623,0.2792,-0.0452,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,2,1760000600400,0.5098,0.5341,0.4817,0.337,0.5058,0.4515,30.86,30.65,30.44,-0.0,0.0191,9.8276,0.2969,0.2164,-0.1501,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,2,1760000600420,0.2002,0.214,0.188,0.1244,0.2013,0.1786,30.75,30.56,30.33,0.0185,-0.0101,9.7723,0.0451,0.0628,0.1979,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,3,1760000600600,0.5106,0.5345,0.4758,0.3415,0.4965,0.445,30.87,30.65,30.49,-0.0237,-0.0,9.8074,0.1162,-0.1907,0.0821,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,3,1760000600620,0.2026,0.2019,0.1868,0.1388,0.1996,0.1763,30.76,30.56,30.34,-0.0094,-0.0177,9.7975,0.0532,-0.1497,-0.1649,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,4,1760000600800,0.5046,0.5289,0.4839,0.3333,0.4991,0.4482,30.88,30.67,30.48,0.0271,0.0167,9.7849,0.0314,-0.1048,-0.0311,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,4,1760000600820,0.2046,0.2082,0.1855,0.1362,0.1946,0.1687,30.76,30.57,30.39,0.0012,-0.0138,9.8236,-0.2152,-0.1278,0.1807,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,5,1760000601000,0.509,0.5322,0.4791,0.3393,0.5005,0.4532,30.84,30.66,30.49,0.0027,-0.0177,9.845,-0.0725,0.277,-0.0127,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,5,1760000601020,0.2007,0.2166,0.1815,0.1256,0.1971,0.1769,30.78,30.54,30.38,0.0046,-0.0289,9.8116,-0.1033,0.2968,-0.0053,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,6,1760000601200,0.5106,0.5268,0.4779,0.3302,0.4962,0.4523,30.89,30.65,30.49,0.0201,0.0077,9.7886,0.0745,-0.0453,0.0672,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,6,1760000601220,0.1973,0.2161,0.1854,0.1359,0.1957,0.1777,30.78,30.55,30.36,-0.0065,-0.0134,9.8401,-0.0896,-0.1421,-0.1585,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,7,1760000601400,0.5019,0.5348,0.4819,0.3383,0.5005,0.4469,30.85,30.69,30.48,0.0127,0.0263,9.767,-0.1163,0.1113,0.0938,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,7,1760000601420,0.1933,0.2159,0.1926,0.1373,0.2035,0.17,30.77,30.57,30.38,-0.0121,0.025,9.7787,-0.0172,0.0077,0.1779,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,8,1760000601600,0.5028,0.5351,0.4798,0.3433,0.5072,0.4546,30.85,30.71,30.48,-0.0066,-0.0093,9.7953,-0.1301,0.2565,-0.1397,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,8,1760000601620,0.1935,0.2124,0.1922,0.1283,0.2027,0.1741,30.76,30.55,30.39,-0.0195,-0.0096,9.8413,0.2185,0.2911,0.026,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,9,1760000601800,0.4985,0.5314,0.472,0.3365,0.5042,0.4514,30.85,30.7,30.47,-0.0269,-0.0086,9.7834,-0.0034,-0.1155,-0.0661,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,9,1760000601820,0.1934,0.2078,0.1846,0.1352,0.1937,0.1762,30.79,30.59,30.39,0.011,-0.0217,9.8286,-0.143,-0.008,-0.1545,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,10,1760000602000,0.4993,0.5343,0.4707,0.3346,0.5088,0.4451,30.87,30.67,30.47,0.0265,-0.0116,9.8138,0.0812,0.1457,-0.1679,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,10,1760000602020,0.191,0.2029,0.1798,0.1321,0.1959,0.1831,30.76,30.59,30.38,-0.0091,-0.0121,9.8395,0.086,0.0273,0.1003,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,11,1760000602200,0.51,0.5296,0.4804,0.3435,0.5096,0.4439,30.86,30.66,30.48,0.0201,0.0077,9.8423,0.0518,0.2597,0.0641,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,11,1760000602220,0.1982,0.2044,0.1841,0.1304,0.1996,0.1825,30.81,30.61,30.4,-0.0093,0.0185,9.8451,-0.1119,-0.2384,0.0223,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,12,1760000602400,0.5079,0.5339,0.4726,0.3425,0.5066,0.4478,30.87,30.7,30.47,0.0294,0.0082,9.8355,-0.0367,0.0836,-0.0248,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,12,1760000602420,0.1956,0.2039,0.1857,0.1318,0.1948,0.1787,30.77,30.62,30.38,0.0228,-0.0117,9.8255,-0.223,-0.2519,-0.0081,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,13,1760000602600,0.5023,0.5311,0.4681,0.3283,0.5021,0.4544,30.9,30.72,30.47,0.0269,-0.0296,9.7977,0.1048,0.0692,0.073,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,13,1760000602620,0.1932,0.2045,0.1823,0.1397,0.2055,0.1747,30.76,30.56,30.4,0.0025,0.0294,9.824,0.2901,-0.2879,0.059,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,14,1760000602800,0.4976,0.5398,0.4681,0.3418,0.5041,0.4555,30.89,30.68,30.47,0.0111,0.019,9.8335,-0.145,0.1965,-0.1457,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,14,1760000602820,0.2027,0.211,0.1871,0.1259,0.1995,0.1723,30.78,30.61,30.39,0.0189,-0.0297,9.7796,-0.0943,0.1209,0.0579,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,15,1760000603000,0.4988,0.5289,0.4829,0.3333,0.5042,0.4441,30.9,30.69,30.5,0.0189,-0.0192,9.8387,-0.1108,-0.112,0.0301,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,15,1760000603020,0.1947,0.205,0.1824,0.1293,0.1925,0.1818,30.81,30.58,30.37,-0.0187,-0.0287,9.7726,0.1023,0.1863,-0.0041,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,16,1760000603200,0.5054,0.5368,0.482,0.3294,0.5012,0.4426,30.91,30.67,30.48,0.0117,-0.0109,9.8004,-0.0383,0.2624,-0.1611,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1007,16,1760000603220,0.1987,0.2132,0.1897,0.1242,0.2018,0.1773,30.8,30.6,30.39,0.0166,-0.0149,9.8274,-0.2711,0.1798,0.1016,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1007,17,1760000603400,0.503,0.5342,0.4692,0.3322,0.5108,0.4461,30.91,30.73,30.49,0.0239,-0.0137,9.78,-0.2532,-0.1823,-0.1243,95,0,csv_replay
