session_id,label,label_confidence,local_time,timestamp_ms,side,device_id,sync_id,packet_seq,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,quality_flags,source
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.188+08:00,1786714800188,right,foot_right_001,2402087,343639408,0.0046,0.0112,0.0149,0.0,0.0144,0.0447,30.87,31.34,24.1,31.22,3.92266,4.0795664,-6.7077485999999995,-6.4,-0.9,-1.4,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.194+08:00,1786714800194,left,foot_left_001,2402087,343639408,0.021,0.0046,0.0283,0.0024,0.0088,0.0669,30.87,32.06,31.16,31.16,-5.3152042999999995,2.2457228499999995,-6.7665885,0.8,0.4,2.2,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.388+08:00,1786714800388,right,foot_right_001,2402087,343639409,0.0046,0.0107,0.0149,0.0,0.0142,0.0449,30.87,31.34,24.1,31.22,3.93246665,4.1384063,-6.7077485999999995,-6.4,-0.9,-1.3,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.394+08:00,1786714800394,left,foot_left_001,2402087,343639409,0.0171,0.0034,0.0237,0.0012,0.0085,0.0686,30.9,32.09,31.22,31.22,-5.295590999999999,2.22610955,-6.7665885,0.6,0.2,2.2,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.588+08:00,1786714800588,right,foot_right_001,2402087,343639410,0.0046,0.011,0.0151,0.0,0.0142,0.0449,30.87,31.34,24.13,31.22,3.8834334,4.1384063,-6.678328649999999,-6.3,-0.8,-1.4,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.594+08:00,1786714800594,left,foot_left_001,2402087,343639410,0.0186,0.0042,0.0259,0.0015,0.0088,0.0674,30.9,32.09,31.22,31.25,-5.32501095,2.2457228499999995,-6.776395149999999,0.4,-0.3,2.0,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.788+08:00,1786714800788,right,foot_right_001,2402087,343639411,0.0049,0.011,0.0156,0.0,0.0144,0.0447,30.9,31.34,24.16,31.25,3.8932400499999997,4.10898635,-6.7077485999999995,-6.2,-0.9,-1.3,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.794+08:00,1786714800794,left,foot_left_001,2402087,343639411,0.0198,0.0046,0.0281,0.0017,0.0088,0.0664,30.96,32.09,31.25,31.34,-5.28578435,2.2359161999999997,-6.8058151,0.7,0.2,2.0,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.988+08:00,1786714800988,right,foot_right_001,2402087,343639412,0.0054,0.0112,0.0166,0.0,0.0147,0.0447,30.9,31.34,24.16,31.25,3.8834334,4.12859965,-6.6881353,-6.3,-1.0,-1.4,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:00.994+08:00,1786714800994,left,foot_left_001,2402087,343639412,0.0205,0.0046,0.0286,0.002,0.0088,0.0664,30.96,32.12,31.28,31.34,-5.295590999999999,2.2359161999999997,-6.776395149999999,0.7,0.4,2.2,0,ble
person_b_session_01,normal_reference,high,2026-08-14T21:40:01.188+08:00,1786714801188,right,foot_right_001,2402087,343639413,0.0049,0.011,0.0168,0.0,0.0147,0.0452,30.9,31.34,24.16,31.28,3.8834334,4.12859965,-6.69794195,-6.4,-0.9,-1.3,0,ble
