protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1005,0,1760000400000,0.7516,0.7008,0.642,0.2312,0.2563,0.225,30.84,30.62,30.44,-0.0104,0.0018,9.7669,0.1247,-0.276,-0.1435,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,0,1760000400020,0.3169,0.339,0.3007,0.2064,0.3122,0.2732,30.78,30.54,30.32,0.0088,0.0164,9.7738,0.2746,-0.1277,-0.0186,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,1,1760000400200,0.7608,0.6964,0.6418,0.223,0.2565,0.222,30.88,30.64,30.44,-0.0057,-0.0141,9.8119,0.0953,0.1075,-0.0114,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,1,1760000400220,0.3076,0.3358,0.2951,0.2105,0.3141,0.2823,30.77,30.53,30.33,-0.0047,-0.0068,9.7667,-0.111,0.0251,0.0936,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,2,1760000400400,0.7555,0.6946,0.638,0.23,0.2563,0.2241,30.86,30.64,30.44,0.0282,-0.0091,9.8008,-0.1516,0.1981,-0.1122,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,2,1760000400420,0.3097,0.3272,0.291,0.214,0.3217,0.2794,30.77,30.53,30.33,-0.0279,0.0283,9.8409,0.1117,-0.1288,0.1436,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,3,1760000400600,0.7493,0.6946,0.6513,0.2259,0.2566,0.2181,30.87,30.68,30.48,-0.0179,-0.0299,9.7741,0.2388,0.0326,-0.0541,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,3,1760000400620,0.3175,0.3292,0.3039,0.2089,0.3075,0.279,30.76,30.57,30.38,-0.0021,-0.0046,9.7809,-0.2433,0.2091,-0.1094,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,4,1760000400800,0.7555,0.7035,0.6471,0.2228,0.2465,0.2201,30.87,30.65,30.49,0.0283,0.0124,9.8126,-0.0058,0.0754,0.0892,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,4,1760000400820,0.3072,0.3325,0.2924,0.2113,0.3148,0.2728,30.76,30.56,30.39,-0.0021,0.0164,9.808,-0.0946,-0.097,-0.0866,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,5,1760000401000,0.7518,0.7049,0.647,0.2237,0.2508,0.2245,30.88,30.67,30.48,-0.0055,0.0214,9.7688,-0.1599,-0.0328,0.0412,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,5,1760000401020,0.3192,0.3365,0.2916,0.2158,0.3074,0.281,30.76,30.56,30.36,-0.0197,0.0145,9.7957,0.1326,-0.1677,0.0505,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,6,1760000401200,0.759,0.7015,0.652,0.2195,0.2527,0.2298,30.9,30.67,30.47,-0.0067,0.0082,9.8412,-0.1878,0.2561,-0.0048,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,6,1760000401220,0.3205,0.3303,0.2916,0.2064,0.3125,0.2817,30.79,30.54,30.37,-0.0014,0.0161,9.8462,-0.2543,-0.2535,-0.0432,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,7,1760000401400,0.7635,0.6984,0.6432,0.2264,0.2537,0.2247,30.9,30.68,30.45,-0.0233,0.0211,9.8208,0.1592,0.2819,0.0346,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,7,1760000401420,0.3173,0.3332,0.2949,0.2148,0.3151,0.2757,30.79,30.57,30.39,0.0158,0.0094,9.7681,-0.0692,0.0597,-0.1177,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,8,1760000401600,0.7638,0.6961,0.6444,0.2244,0.2497,0.217,30.89,30.65,30.48,-0.0095,-0.0019,9.8291,-0.2588,0.2602,-0.1285,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,8,1760000401620,0.3081,0.3377,0.2926,0.2071,0.3191,0.2721,30.77,30.58,30.35,0.0172,-0.0206,9.8133,-0.097,-0.1183,0.1429,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,9,1760000401800,0.7551,0.6957,0.6371,0.2173,0.2534,0.2191,30.86,30.69,30.49,-0.015,0.012,9.8462,0.214,0.0391,0.1244,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,9,1760000401820,0.3149,0.3283,0.2959,0.2034,0.319,0.2782,30.79,30.59,30.37,-0.0154,0.0138,9.8011,-0.1583,0.1621,-0.0118,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,10,1760000402000,0.7609,0.6925,0.6367,0.2266,0.2546,0.2238,30.87,30.68,30.46,0.0111,0.0116,9.7719,0.2679,0.1148,-0.1702,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,10,1760000402020,0.315,0.3323,0.303,0.2171,0.319,0.278,30.76,30.6,30.36,-0.0222,-0.0211,9.8232,0.2772,-0.2098,0.026,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,11,1760000402200,0.7639,0.702,0.6518,0.2219,0.2554,0.2162,30.9,30.7,30.5,0.0012,-0.0167,9.7787,0.152,-0.0461,-0.0116,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,11,1760000402220,0.3072,0.3345,0.2994,0.2048,0.3187,0.2835,30.76,30.57,30.38,0.0115,0.0284,9.8237,-0.044,-0.2418,0.0238,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,12,1760000402400,0.7493,0.7078,0.6485,0.2318,0.248,0.2277,30.92,30.71,30.52,0.0155,0.004,9.8156,-0.1325,-0.2371,0.0234,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,12,1760000402420,0.3204,0.3376,0.3,0.2077,0.3194,0.2837,30.77,30.59,30.36,-0.0105,-0.0067,9.8054,0.1611,0.2657,-0.0515,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,13,1760000402600,0.7556,0.6957,0.6394,0.2277,0.2537,0.2245,30.89,30.71,30.5,0.0195,0.0179,9.7875,-0.0353,0.0894,-0.1217,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,13,1760000402620,0.3226,0.3376,0.292,0.205,0.3171,0.2721,30.79,30.6,30.38,0.0167,0.0234,9.796,-0.03,-0.1604,-0.1395,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,14,1760000402800,0.7615,0.6941,0.6461,0.2198,0.2583,0.2237,30.89,30.67,30.51,-0.028,-0.0248,9.8063,0.1619,0.1784,0.0691,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,14,1760000402820,0.3105,0.3335,0.2898,0.2025,0.3146,0.2859,30.78,30.59,30.39,0.0293,-0.0087,9.7732,0.2938,0.0348,0.1083,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1005,15,1760000403000,0.7498,0.6967,0.6501,0.2163,0.2495,0.223,30.9,30.7,30.47,-0.0115,0.0111,9.8025,-0.2307,0.286,-0.0104,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1005,15,1760000403020,0.3127,0.3265,0.3018,0.2166,0.3211,0.2761,30.77,30.62,30.42,-0.0203,0.0196,9.8084,-0.0368,0.2896,0.0144,93,0,csv_replay
