protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1003,0,1760000200000,0.5045,0.5332,0.4695,0.3303,0.5001,0.4495,30.83,30.65,30.46,0.0251,0.0254,9.7925,0.2611,0.2652,-0.1857,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,0,1760000200020,0.2011,0.2075,0.1811,0.1363,0.2029,0.1783,30.75,30.55,30.37,-0.0248,-0.0014,9.7845,-0.2744,0.0354,-0.0034,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,1,1760000200200,0.509,0.5306,0.4713,0.33,0.5029,0.4489,30.83,30.67,30.44,-0.0211,0.0165,9.8466,0.0355,-0.1502,-0.0659,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,1,1760000200220,0.2052,0.2087,0.1835,0.1243,0.1987,0.1727,30.77,30.56,30.33,-0.0192,0.0029,9.7762,0.1425,-0.2856,-0.0503,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,2,1760000200400,0.5004,0.5274,0.4818,0.3422,0.5042,0.4467,30.84,30.68,30.48,0.017,-0.0233,9.7877,0.1588,-0.1063,-0.0854,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,2,1760000200420,0.2029,0.2024,0.195,0.1337,0.2049,0.1696,30.74,30.56,30.37,-0.0179,0.0062,9.8462,-0.0669,-0.0485,0.0882,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,3,1760000200600,0.5092,0.5294,0.474,0.3283,0.5088,0.4404,30.86,30.66,30.48,-0.0136,0.0275,9.7738,-0.2376,0.061,-0.1084,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,3,1760000200620,0.1929,0.2037,0.1879,0.1267,0.2025,0.1736,30.74,30.58,30.39,0.0183,0.0025,9.8114,0.0803,0.0015,-0.0588,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,4,1760000200800,0.5113,0.5271,0.475,0.3395,0.4972,0.4499,30.87,30.66,30.49,0.0032,-0.012,9.8052,0.2384,0.0192,-0.0324,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,4,1760000200820,0.1982,0.2087,0.1799,0.1265,0.1958,0.1766,30.77,30.58,30.37,-0.0096,0.0254,9.8314,-0.1242,0.0556,-0.1587,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,5,1760000201000,0.5062,0.5342,0.4742,0.3431,0.5086,0.4532,30.86,30.66,30.5,0.0299,0.007,9.845,0.2143,0.0658,-0.0093,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,5,1760000201020,0.203,0.2151,0.1798,0.1306,0.1992,0.1752,30.75,30.56,30.37,0.0296,-0.0029,9.8165,0.2212,-0.0596,0.1453,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,6,1760000201200,0.5069,0.5262,0.4794,0.334,0.5033,0.4457,30.87,30.67,30.47,-0.0239,0.029,9.8102,0.0566,0.268,-0.0109,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,6,1760000201220,0.2011,0.2124,0.1856,0.1273,0.202,0.1701,30.76,30.57,30.36,0.0054,-0.0022,9.7847,-0.0365,-0.0927,-0.0962,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,7,1760000201400,0.4994,0.533,0.4782,0.3311,0.507,0.45,30.85,30.67,30.46,-0.0179,0.0297,9.773,0.0472,-0.2357,0.0323,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,7,1760000201420,0.194,0.2166,0.1937,0.13,0.1949,0.1794,30.76,30.58,30.4,-0.0298,-0.0115,9.8191,0.2312,0.1452,-0.1742,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,8,1760000201600,0.5111,0.5355,0.4805,0.338,0.5079,0.4487,30.89,30.69,30.45,-0.0031,0.025,9.8207,-0.0808,-0.0979,-0.1195,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,8,1760000201620,0.2037,0.2046,0.1914,0.1344,0.1976,0.1754,30.76,30.56,30.39,0.0181,-0.0051,9.8329,-0.0148,-0.1797,0.0472,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,9,1760000201800,0.4995,0.5284,0.4836,0.3367,0.4983,0.4437,30.87,30.68,30.5,-0.0072,0.0214,9.7783,0.0976,-0.1246,-0.0832,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,9,1760000201820,0.192,0.2088,0.1876,0.1373,0.197,0.1744,30.76,30.56,30.39,-0.0204,-0.024,9.7728,-0.0316,-0.2521,0.0513,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,10,1760000202000,0.5058,0.5317,0.4835,0.3439,0.4994,0.4554,30.89,30.69,30.51,-0.0299,-0.0083,9.7811,0.1891,0.2934,-0.0276,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,10,1760000202020,0.202,0.2071,0.1911,0.1354,0.1959,0.1824,30.77,30.59,30.4,0.0128,0.0181,9.7949,0.049,-0.1751,-0.0422,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,11,1760000202200,0.5052,0.5341,0.4707,0.3288,0.4987,0.4523,30.87,30.68,30.46,-0.0274,-0.0289,9.7845,-0.2899,0.0767,-0.0282,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,11,1760000202220,0.1907,0.2015,0.1851,0.1273,0.2036,0.1687,30.79,30.59,30.4,-0.0118,-0.0297,9.8405,-0.2728,-0.0093,0.1374,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,12,1760000202400,0.5021,0.5388,0.4839,0.3317,0.5102,0.4419,30.91,30.7,30.49,0.0078,-0.0291,9.8254,0.1687,-0.1016,-0.0781,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,12,1760000202420,0.1907,0.2104,0.1834,0.1383,0.1947,0.1784,30.78,30.57,30.41,-0.0141,0.0129,9.8209,0.286,-0.2485,-0.1304,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,13,1760000202600,0.5111,0.5336,0.4763,0.3429,0.511,0.4443,30.92,30.69,30.47,0.0123,-0.0179,9.8022,0.2811,-0.074,0.1345,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,13,1760000202620,0.2027,0.2143,0.1903,0.1375,0.1916,0.1815,30.8,30.58,30.4,0.012,-0.0276,9.8337,0.1749,0.2016,-0.1792,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,14,1760000202800,0.506,0.5266,0.4804,0.3331,0.5097,0.4525,30.91,30.71,30.5,0.03,0.0037,9.8301,0.0794,0.1275,-0.1355,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,14,1760000202820,0.2052,0.209,0.1891,0.1242,0.1986,0.1821,30.8,30.61,30.39,0.0059,0.0018,9.7777,0.0411,-0.2267,-0.096,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,15,1760000203000,0.5014,0.5297,0.4708,0.3366,0.5059,0.4524,30.89,30.71,30.47,0.0282,-0.022,9.8319,0.0936,-0.118,0.1959,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,15,1760000203020,0.1953,0.2036,0.1947,0.1305,0.1902,0.1753,30.79,30.63,30.4,-0.0106,0.0172,9.7669,0.1318,0.0496,-0.1676,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,16,1760000203200,0.4986,0.5243,0.4747,0.3416,0.5017,0.4438,30.91,30.67,30.51,0.0272,0.0025,9.7944,0.2168,0.0967,-0.1015,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,16,1760000203220,0.2007,0.2096,0.194,0.1296,0.1912,0.18,30.81,30.58,30.41,0.0023,0.0085,9.835,-0.0775,0.0824,-0.0462,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,17,1760000203400,0.5039,0.5393,0.4777,0.3363,0.5023,0.4476,30.92,30.73,30.47,0.0129,-0.0221,9.8064,0.2116,-0.1472,0.0611,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,17,1760000203420,0.2045,0.2116,0.1923,0.1302,0.1998,0.1764,30.77,30.6,30.43,0.0125,0.0015,9.8403,-0.0355,0.2705,-0.0241,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,18,1760000203600,0.4979,0.5368,0.4775,0.3379,0.5095,0.4421,30.91,30.72,30.5,0.0243,0.0081,9.8215,-0.0477,-0.1917,-0.0511,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,18,1760000203620,0.2015,0.2013,0.1922,0.1346,0.1966,0.1756,30.82,30.62,30.4,0.0068,-0.0059,9.7909,0.1005,0.0248,-0.1254,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,19,1760000203800,0.497,0.538,0.4757,0.344,0.5119,0.4417,30.9,30.7,30.49,0.0237,0.0186,9.7774,-0.0876,0.02,-0.0358,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,19,1760000203820,0.1928,0.2034,0.1917,0.1399,0.2049,0.1702,30.8,30.61,30.43,0.0055,0.0263,9.8061,0.0235,0.2264,-0.0117,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,20,1760000204000,0.5095,0.5255,0.4748,0.3315,0.5048,0.451,30.9,30.71,30.5,0.0198,0.0224,9.8107,-0.0208,-0.0018,0.0232,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,20,1760000204020,0.2006,0.2149,0.1879,0.1383,0.2033,0.1728,30.82,30.63,30.4,0.01,0.0212,9.779,-0.2623,-0.0162,0.0322,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,21,1760000204200,0.5078,0.538,0.4726,0.3394,0.5014,0.4444,30.92,30.7,30.53,0.0196,-0.021,9.7847,-0.2829,-0.1152,-0.0956,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,21,1760000204220,0.1979,0.203,0.1834,0.1277,0.1974,0.1734,30.84,30.58,30.43,-0.0122,-0.0271,9.7916,0.2894,-0.0289,0.1323,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,22,1760000204400,0.5001,0.5361,0.4805,0.3281,0.5104,0.4407,30.9,30.71,30.54,0.028,-0.0009,9.7994,0.1302,0.2313,-0.145,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,22,1760000204420,0.2052,0.2151,0.1883,0.1318,0.2021,0.1689,30.79,30.6,30.43,0.0254,-0.0072,9.7689,0.1997,-0.2436,0.0754,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,23,1760000204600,0.5061,0.5318,0.4814,0.3345,0.5043,0.4555,30.91,30.71,30.5,0.0255,0.0121,9.8151,0.1754,0.0027,0.1079,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,23,1760000204620,0.1993,0.2124,0.1794,0.1297,0.1939,0.168,30.81,30.62,30.42,-0.001,0.0253,9.779,-0.2008,-0.2118,-0.1038,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,24,1760000204800,0.4975,0.5283,0.474,0.344,0.4999,0.4512,30.94,30.69,30.52,0.007,0.0034,9.8319,0.0081,0.2829,-0.1228,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,24,1760000204820,0.1985,0.2151,0.1826,0.1317,0.196,0.1795,30.81,30.62,30.41,0.001,0.0185,9.7765,0.0578,0.2798,-0.0241,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,25,1760000205000,0.5041,0.5399,0.4824,0.3287,0.5096,0.4551,30.93,30.72,30.53,-0.005,-0.0241,9.7996,-0.2866,0.1611,-0.0206,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,25,1760000205020,0.192,0.211,0.1862,0.1318,0.191,0.1698,30.8,30.64,30.4,0.0255,-0.0045,9.7831,-0.1293,-0.0755,0.0819,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,26,1760000205200,0.5012,0.535,0.4779,0.3331,0.5043,0.4409,30.9,30.75,30.5,0.0238,-0.0235,9.8133,0.1811,0.0421,-0.1655,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,26,1760000205220,0.2028,0.2169,0.1865,0.1276,0.1979,0.1777,30.84,30.59,30.44,-0.0181,0.0272,9.8264,-0.17,-0.1824,-0.0212,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,27,1760000205400,0.5056,0.5286,0.4809,0.3399,0.5071,0.4406,30.91,30.73,30.55,0.0125,-0.0032,9.8405,-0.097,0.0794,0.1298,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,27,1760000205420,0.2022,0.206,0.1791,0.1314,0.1938,0.1814,30.84,30.65,30.42,0.0026,0.0276,9.7751,-0.1007,-0.2372,-0.0058,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,28,1760000205600,0.502,0.5311,0.4739,0.3409,0.5065,0.4467,30.94,30.7,30.53,0.0264,0.0236,9.8235,0.2627,0.1849,-0.0741,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,28,1760000205620,0.192,0.2094,0.1825,0.1388,0.2055,0.174,30.81,30.63,30.45,-0.0024,-0.0226,9.7908,0.1452,-0.2383,0.0675,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,29,1760000205800,0.5068,0.526,0.474,0.3342,0.5004,0.4503,30.9,30.7,30.53,0.0116,-0.0153,9.7927,-0.2255,-0.1241,-0.1153,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,29,1760000205820,0.2047,0.2146,0.1793,0.1327,0.1983,0.1783,30.81,30.62,30.42,0.013,-0.0247,9.8213,0.1569,-0.2086,0.1837,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,30,1760000206000,0.5084,0.5253,0.4713,0.3437,0.5031,0.4455,30.91,30.72,30.55,0.0163,0.0165,9.8051,0.272,-0.1146,0.0868,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,30,1760000206020,0.2007,0.2104,0.1912,0.127,0.1965,0.1827,30.85,30.63,30.46,-0.0242,0.0246,9.8435,0.0586,0.1264,-0.0521,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,31,1760000206200,0.51,0.5307,0.4712,0.3346,0.5017,0.4424,30.91,30.72,30.54,0.0133,0.0005,9.8275,0.2792,-0.0164,-0.1992,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,31,1760000206220,0.2035,0.2133,0.1876,0.1265,0.2023,0.1821,30.83,30.63,30.41,0.0022,0.0205,9.824,0.171,-0.1603,-0.0895,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,32,1760000206400,0.5108,0.5294,0.4801,0.3288,0.5093,0.4406,30.95,30.74,30.55,0.029,-0.0044,9.7824,0.2758,-0.1023,0.1155,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,32,1760000206420,0.1973,0.2042,0.186,0.1269,0.1937,0.1757,30.85,30.6,30.4,-0.0235,0.0226,9.7955,0.0991,-0.032,0.0416,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,33,1760000206600,0.4999,0.5276,0.4785,0.3304,0.5093,0.4549,30.93,30.75,30.56,-0.0159,-0.0177,9.827,0.2722,-0.1432,-0.1159,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,33,1760000206620,0.1967,0.2018,0.1932,0.131,0.1999,0.1788,30.82,30.65,30.45,0.0042,-0.0016,9.7791,0.1844,0.0363,0.077,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1003,34,1760000206800,0.4986,0.526,0.4809,0.3281,0.5035,0.4463,30.93,30.72,30.54,-0.0237,0.0114,9.7712,0.1371,0.0686,-0.0005,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1003,34,1760000206820,0.205,0.2116,0.1945,0.1317,0.1903,0.1807,30.84,30.64,30.44,0.0006,-0.0208,9.8199,-0.241,-0.066,-0.0335,93,0,csv_replay
