protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1001,0,1760000000000,0.3318,0.335,0.3041,0.2138,0.3252,0.2919,30.82,30.68,30.48,0.0018,0.0254,9.8228,-0.0352,0.0783,-0.1508,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,0,1760000000020,0.3174,0.3368,0.3009,0.2092,0.3213,0.2758,30.73,30.52,30.38,-0.0007,-0.0075,9.7861,0.1202,-0.0875,-0.0357,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,1,1760000000200,0.3244,0.3422,0.3085,0.2092,0.3179,0.2824,30.88,30.63,30.43,-0.0172,0.0075,9.8281,0.1061,-0.053,0.0176,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,1,1760000000220,0.3216,0.3318,0.3045,0.2149,0.3134,0.2855,30.72,30.57,30.35,-0.0096,-0.0295,9.783,0.1798,0.2735,-0.0867,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,2,1760000000400,0.3172,0.3366,0.2981,0.2179,0.3304,0.2901,30.84,30.66,30.47,-0.0291,-0.0091,9.77,-0.1981,0.0458,0.0119,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,2,1760000000420,0.3101,0.3285,0.29,0.2088,0.3142,0.2795,30.73,30.55,30.38,-0.0139,0.0223,9.8313,-0.2951,0.0258,0.1043,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,3,1760000000600,0.3162,0.347,0.3088,0.2239,0.3251,0.2882,30.86,30.68,30.46,-0.0205,0.028,9.8048,0.2638,-0.2917,-0.1356,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,3,1760000000620,0.3131,0.3291,0.305,0.2075,0.3101,0.2778,30.78,30.53,30.38,0.0133,0.0097,9.8264,0.1206,0.2902,0.1469,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,4,1760000000800,0.3171,0.3448,0.3033,0.2118,0.317,0.2911,30.88,30.65,30.49,0.0013,-0.0226,9.8006,0.0456,-0.2527,-0.1744,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,4,1760000000820,0.3154,0.3339,0.2975,0.2164,0.3224,0.2831,30.79,30.57,30.36,0.0209,-0.0187,9.7996,0.2307,-0.1821,0.1354,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,5,1760000001000,0.3278,0.3482,0.3061,0.2178,0.3236,0.2954,30.85,30.69,30.45,-0.0208,0.021,9.7912,-0.16,0.2338,-0.0923,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,5,1760000001020,0.3157,0.3393,0.3044,0.2051,0.3164,0.2805,30.76,30.55,30.36,0.0299,0.014,9.7814,-0.1841,-0.1082,0.0058,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,6,1760000001200,0.3256,0.3402,0.3088,0.2171,0.3167,0.2918,30.85,30.68,30.47,0.0008,0.0168,9.7775,0.2911,0.1279,0.1682,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,6,1760000001220,0.3147,0.3286,0.3004,0.214,0.3228,0.2757,30.76,30.56,30.39,-0.0198,0.0252,9.804,0.0381,0.0241,-0.0852,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,7,1760000001400,0.3294,0.3398,0.3137,0.2168,0.328,0.2845,30.86,30.68,30.48,-0.023,0.026,9.7968,0.2478,0.0648,0.141,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,7,1760000001420,0.3168,0.3389,0.2955,0.2026,0.321,0.2763,30.78,30.58,30.35,-0.0138,0.0041,9.8115,0.2183,-0.2225,0.0778,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,8,1760000001600,0.3258,0.3402,0.3055,0.2166,0.324,0.2886,30.87,30.68,30.49,0.0019,-0.013,9.773,-0.2565,-0.1859,-0.0873,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,8,1760000001620,0.3162,0.3402,0.3016,0.2087,0.3086,0.2754,30.81,30.59,30.38,-0.0205,0.0287,9.8314,-0.2421,0.2526,0.1093,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1001,9,1760000001800,0.3242,0.3355,0.2989,0.2183,0.3226,0.2815,30.91,30.69,30.49,-0.0175,0.0091,9.7716,-0.1401,-0.1424,0.1359,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1001,9,1760000001820,0.3177,0.3348,0.2999,0.2168,0.319,0.2766,30.76,30.57,30.39,0.0277,0.017,9.8352,0.0574,-0.1079,0.1831,93,0,csv_replay
