protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1002,0,1760000100000,0.2294,0.2452,0.2069,0.1512,0.2313,0.1947,30.83,30.68,30.43,0.0226,0.1945,9.8243,-0.0186,7.0741,-0.0779,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,0,1760000100020,0.2221,0.2374,0.2103,0.154,0.2282,0.1968,30.75,30.58,30.34,-0.0285,-0.1816,9.8112,-0.1776,-6.9987,3.0201,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,1,1760000100200,0.3985,0.4202,0.3833,0.2778,0.4029,0.3648,30.88,30.66,30.45,0.4966,0.0584,10.8282,17.1862,2.2507,1.7688,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,1,1760000100220,0.047,0.0431,0.0461,0.0377,0.05,0.0338,30.76,30.58,30.37,-0.5299,-0.043,10.8707,-17.3096,-2.2626,2.4776,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,2,1760000100400,0.3371,0.3471,0.3183,0.2289,0.3363,0.3064,30.85,30.65,30.46,0.3162,-0.1656,10.4443,10.4761,-5.8279,2.8053,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,2,1760000100420,0.116,0.1188,0.1133,0.0738,0.106,0.0933,30.77,30.53,30.33,-0.3303,0.1728,10.4322,-10.573,5.7703,0.8833,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,3,1760000100600,0.1123,0.1257,0.1155,0.076,0.115,0.1,30.88,30.69,30.47,-0.3263,-0.1689,10.4368,-10.8312,-5.7155,2.8106,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,3,1760000100620,0.3433,0.3592,0.3145,0.228,0.3396,0.3062,30.76,30.57,30.38,0.2934,0.1775,10.4537,10.6947,5.7291,-0.9919,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,4,1760000100800,0.0386,0.0461,0.0416,0.0259,0.041,0.0401,30.86,30.65,30.44,-0.5079,0.0783,10.883,-16.851,2.3318,1.8257,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,4,1760000100820,0.3993,0.4219,0.3788,0.2721,0.3977,0.3667,30.74,30.54,30.38,0.5518,-0.0439,10.8147,17.3314,-2.1661,-2.5029,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,5,1760000101000,0.2203,0.2374,0.2108,0.148,0.2262,0.1933,30.86,30.65,30.46,0.02,0.201,9.7909,0.0918,6.9056,0.0959,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,5,1760000101020,0.2186,0.2383,0.2148,0.1516,0.2303,0.1962,30.79,30.59,30.36,0.0036,-0.2124,9.787,0.29,-6.8254,-2.922,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,6,1760000101200,0.41,0.4276,0.3796,0.2641,0.3978,0.3532,30.85,30.68,30.48,0.5154,0.0715,10.8356,17.0839,2.3279,-1.6815,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,6,1760000101220,0.0521,0.042,0.047,0.0231,0.0495,0.0364,30.79,30.57,30.36,-0.5452,-0.0627,10.8355,-17.2546,-2.0655,-2.4703,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,7,1760000101400,0.3438,0.3534,0.3179,0.2169,0.3369,0.3025,30.88,30.65,30.48,0.3508,-0.1424,10.4351,10.5877,-5.7938,-2.83,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,7,1760000101420,0.1215,0.1208,0.1032,0.083,0.1144,0.0948,30.78,30.58,30.4,-0.3257,0.1591,10.4225,-10.3416,5.7706,-0.8424,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,8,1760000101600,0.1196,0.1253,0.1069,0.0817,0.1119,0.1084,30.88,30.68,30.47,-0.3072,-0.1506,10.4696,-10.4087,-5.7076,-2.9455,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,8,1760000101620,0.34,0.3493,0.3211,0.2281,0.3383,0.3022,30.78,30.56,30.36,0.3152,0.1523,10.4668,10.6492,5.6068,0.8664,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,9,1760000101800,0.0523,0.0452,0.0401,0.0359,0.0458,0.0362,30.87,30.71,30.49,-0.5044,0.0476,10.8606,-17.0637,2.0996,-1.6856,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,9,1760000101820,0.4037,0.4321,0.3864,0.2665,0.4039,0.3533,30.79,30.59,30.39,0.5214,-0.073,10.882,17.3252,-2.1609,2.427,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,10,1760000102000,0.2296,0.2444,0.2064,0.1546,0.2256,0.203,30.9,30.71,30.49,0.0285,0.2136,9.7697,0.1512,7.1887,-0.0303,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,10,1760000102020,0.2182,0.2414,0.2193,0.1574,0.2206,0.202,30.8,30.57,30.39,-0.0075,-0.1801,9.8045,-0.2731,-6.9964,3.0001,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,11,1760000102200,0.4093,0.4214,0.381,0.2685,0.4023,0.352,30.87,30.69,30.5,0.4965,0.0429,10.8611,17.0068,2.2374,1.7694,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,11,1760000102220,0.047,0.0538,0.0443,0.0381,0.0403,0.0444,30.8,30.59,30.41,-0.5017,-0.0462,10.833,-17.3099,-2.3008,2.3492,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,12,1760000102400,0.3355,0.3626,0.3206,0.2289,0.3294,0.2976,30.88,30.68,30.5,0.2953,-0.1551,10.4444,10.3163,-5.8094,2.7871,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,12,1760000102420,0.1104,0.1254,0.1137,0.0787,0.1142,0.0976,30.78,30.56,30.4,-0.3062,0.1642,10.4609,-10.5392,5.5605,1.0262,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,13,1760000102600,0.1211,0.1258,0.1035,0.0821,0.117,0.095,30.89,30.67,30.5,-0.3383,-0.1448,10.4548,-10.3293,-5.6797,2.8777,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,13,1760000102620,0.3306,0.3475,0.3223,0.2225,0.3437,0.298,30.79,30.62,30.41,0.3032,0.1691,10.4665,10.7863,5.8524,-1.0092,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,14,1760000102800,0.0373,0.051,0.0481,0.032,0.0394,0.0408,30.92,30.68,30.52,-0.529,0.0541,10.8198,-17.1164,2.3072,1.7921,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,14,1760000102820,0.3975,0.428,0.3783,0.2691,0.4116,0.3521,30.82,30.61,30.41,0.5149,-0.0743,10.88,17.1261,-2.1952,-2.4039,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,15,1760000103000,0.2312,0.2322,0.2173,0.152,0.2182,0.1991,30.89,30.73,30.5,-0.0279,0.1892,9.8154,0.0631,6.8626,0.0861,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1002,15,1760000103020,0.2311,0.2336,0.2172,0.1577,0.2231,0.199,30.82,30.61,30.38,0.0052,-0.1842,9.8363,-0.0087,-6.8223,-3.0316,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1002,16,1760000103200,0.4083,0.4264,0.3791,0.2657,0.3971,0.3638,30.93,30.71,30.49,0.4995,0.0453,10.8795,17.2278,1.9754,-1.8564,95,0,csv_replay
