protocol_version,sensor_layout_version,device_id,side,sync_id,packet_seq,timestamp_ms,p1,p2,p3,p4,p5,p6,t1,t2,t3,ax,ay,az,gx,gy,gz,battery,quality_flags,source
1,layout_6p3t_v1,foot_left_001,left,1006,0,1760000500000,0.331,0.3463,0.3139,0.2236,0.3319,0.287,30.83,30.64,30.48,-0.0061,0.0132,9.82,0.1466,-0.2302,0.0486,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,0,1760000500020,0.3159,0.3253,0.299,0.2096,0.3077,0.2724,30.74,30.53,30.34,0.0288,0.0282,9.7826,0.1535,0.135,-0.1086,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,1,1760000500200,0.3315,0.3468,0.3106,0.2225,0.3303,0.2852,30.85,30.67,30.47,0.0249,-0.0019,9.8447,-0.0152,0.0174,-0.0256,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,1,1760000500220,0.3096,0.3308,0.3044,0.2166,0.3168,0.2801,30.75,30.58,30.34,0.0029,-0.025,9.8242,0.141,-0.17,0.1578,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,2,1760000500400,0.3225,0.3497,0.3135,0.2218,0.3252,0.289,30.87,30.69,30.47,-0.0104,0.0245,9.8215,0.2357,0.1015,0.0616,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,2,1760000500420,0.3156,0.3279,0.2947,0.2134,0.3162,0.2783,30.76,30.53,30.35,0.0218,-0.0173,9.8056,0.0445,0.1587,-0.1853,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,3,1760000500600,0.3166,0.3476,0.3086,0.2104,0.3183,0.2882,30.88,30.64,30.44,-0.0097,0.0009,9.8372,-0.2546,0.1181,-0.0397,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,3,1760000500620,0.318,0.3295,0.2985,0.206,0.3211,0.2875,30.79,30.59,30.39,-0.0143,-0.029,9.7807,-0.0259,0.1861,0.0929,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,4,1760000500800,0.331,0.3494,0.3038,0.22,0.3288,0.2915,30.87,30.69,30.48,0.0126,-0.0117,9.7889,-0.2777,0.1863,-0.113,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,4,1760000500820,0.3135,0.3326,0.3002,0.2174,0.3142,0.2825,30.79,30.55,30.33,-0.0147,-0.0113,9.7669,-0.2252,-0.1875,0.1002,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,5,1760000501000,0.325,0.3465,0.3131,0.2198,0.3299,0.2828,30.87,30.68,30.46,-0.0244,-0.0068,9.7728,-0.1171,0.1216,0.0476,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,5,1760000501020,0.3222,0.3294,0.3,0.2095,0.3209,0.2836,30.74,30.54,30.39,-0.0021,0.0068,9.7806,-0.0125,-0.2246,-0.1191,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,6,1760000501200,0.3312,0.3452,0.3049,0.214,0.3197,0.2855,30.85,30.64,30.44,0.0174,0.0132,9.8266,-0.0355,-0.2748,0.1385,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,6,1760000501220,0.3128,0.3402,0.2992,0.2154,0.3073,0.2815,30.79,30.59,30.39,0.0118,-0.0139,9.8405,-0.2501,0.2753,-0.1815,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,7,1760000501400,0.3191,0.3428,0.3046,0.2154,0.3318,0.282,30.88,30.66,30.48,-0.029,-0.0244,9.839,0.226,-0.2959,0.0698,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,7,1760000501420,0.3126,0.3262,0.2992,0.211,0.3139,0.2855,30.78,30.58,30.38,-0.0001,-0.0154,9.7719,-0.0277,0.2646,-0.053,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,8,1760000501600,0.3247,0.3375,0.3014,0.2103,0.3177,0.2941,30.86,30.69,30.49,0.0132,0.0147,9.7898,0.0746,0.1695,-0.0328,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,8,1760000501620,0.3127,0.3261,0.2934,0.2114,0.3179,0.2856,30.78,30.56,30.35,0.0241,0.0232,9.8258,-0.0209,-0.1253,0.1987,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,9,1760000501800,0.3307,0.3477,0.3064,0.2192,0.3299,0.2834,30.88,30.66,30.47,0.0102,0.0283,9.7842,0.1719,0.0295,-0.1553,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,9,1760000501820,0.3221,0.3385,0.2977,0.2135,0.3102,0.2761,30.77,30.56,30.37,0.0099,-0.0211,9.8042,0.2425,0.1821,-0.1624,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,10,1760000502000,0.3193,0.3368,0.3054,0.2141,0.3267,0.2818,30.86,30.7,30.51,0.0271,0.015,9.7837,-0.2169,0.2023,-0.0671,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,10,1760000502020,0.3219,0.3264,0.3049,0.2082,0.3124,0.2801,30.8,30.57,30.38,-0.026,0.0139,9.8114,0.1723,-0.0522,-0.1696,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,11,1760000502200,0.3277,0.3383,0.3067,0.2179,0.3315,0.2891,30.89,30.68,30.51,-0.0183,-0.0221,9.7895,-0.1683,0.2215,0.0374,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,11,1760000502220,0.3222,0.3287,0.2954,0.2138,0.3083,0.2834,30.8,30.59,30.38,-0.0016,-0.0093,9.8297,-0.2385,0.0636,-0.007,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,12,1760000502400,0.3224,0.3488,0.3047,0.2171,0.3263,0.2865,30.86,30.71,30.51,-0.0136,-0.0095,9.7999,0.1786,-0.182,0.0238,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,12,1760000502420,0.3201,0.3247,0.293,0.2127,0.3167,0.287,30.81,30.58,30.37,-0.027,0.0219,9.8107,-0.2889,-0.1012,-0.0948,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,13,1760000502600,0.3217,0.3369,0.3131,0.2081,0.3246,0.2802,30.89,30.67,30.49,0.0005,0.0167,9.7777,0.0591,-0.0669,0.0629,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,13,1760000502620,0.321,0.3283,0.29,0.212,0.3074,0.2853,30.8,30.62,30.39,-0.0235,0.0265,9.7938,0.1418,-0.2626,0.0045,93,0,csv_replay
1,layout_6p3t_v1,foot_left_001,left,1006,14,1760000502800,0.3175,0.3494,0.3119,0.2084,0.3195,0.2897,30.87,30.72,30.47,-0.0266,-0.014,9.7706,-0.072,-0.2506,-0.1503,95,0,csv_replay
1,layout_6p3t_v1,foot_right_001,right,1006,14,1760000502820,0.3113,0.3332,0.2936,0.2022,0.3138,0.2801,30.78,30.59,30.39,-0.0196,0.0143,9.8048,-0.0919,-0.2135,-0.102,93,0,csv_replay
